wavelength,eff
300,0.17679708445755946
302,0.18186529305045152
304,0.18709700531262158
306,0.19245122523870534
308,0.19791645543659844
310,0.20350796480044686
312,0.20925859732393814
314,0.21521067032069902
316,0.22140801947940775
318,0.22788442588727087
320,0.2346561896734817
322,0.241723168137265
324,0.24906484225649184
326,0.256642446808512
328,0.2644025190528173
330,0.2722807872219155
332,0.2802062345316552
334,0.28811123398873134
336,0.2959403345402151
338,0.30365343970157843
340,0.31123331091275436
342,0.3186839785555636
344,0.326029343477167
346,0.3333076483761441
348,0.340560164767731
350,0.3478263255935299
352,0.3551345167285298
354,0.3624975554436972
356,0.3699100969284158
358,0.37735021257223933
360,0.38477929015445633
362,0.39214798390726674
364,0.39939833109102163
366,0.4064689527019935
368,0.4133034318478751
370,0.41985297614980865
372,0.42608456034022385
374,0.4319869640662108
376,0.437574083957841
378,0.4428815554979436
380,0.447965366790279
382,0.4528936934454362
384,0.4577383499697072
386,0.4625615396583409
388,0.46740945683958784
390,0.47230737336793066
392,0.47725811332504897
394,0.48224493266519647
396,0.4872328060327109
398,0.49217405993712154
400,0.497015374430693
402,0.5017018926433455
404,0.5061846420949205
406,0.5104269792061689
408,0.5144108785747862
410,0.5181461706365741
412,0.5216673412225297
414,0.5250339830556269
416,0.5283209017748253
418,0.5316040244163674
420,0.5349482466210229
422,0.5383926839212763
424,0.5419455963693527
426,0.5455844367469589
428,0.5492592745295626
430,0.5529116434508434
432,0.5564848109176599
434,0.5599382702030601
436,0.5632563609775998
438,0.5664492676280782
440,0.5695458432226486
442,0.5725871160938026
444,0.5756042700462245
446,0.5786151454604129
448,0.5816092304453283
450,0.5845510095136272
452,0.5873833674580872
454,0.5900435642284076
456,0.592477991373832
458,0.5946574642142655
460,0.5965947258999416
462,0.5983397891798411
464,0.5999766334078931
466,0.6016084613436385
468,0.6033371400826067
470,0.6052402268312865
472,0.6073552519695656
474,0.6096717076832492
476,0.6121333371963684
478,0.6146488486558639
480,0.6171122326749154
482,0.6194205051494539
484,0.6214915088717491
486,0.6232743697204447
488,0.624752990537006
490,0.6259436991349447
492,0.6268865286258947
494,0.627634928981479
496,0.6282473723865789
498,0.628778075088143
500,0.6292723836339333
502,0.6297610502096891
504,0.6302616347728165
506,0.6307724233690702
508,0.6312753584743724
510,0.6317379882285413
512,0.6321121722724918
514,0.6323386605523718
516,0.6323508044698763
518,0.6320785307464034
520,0.6314538447744744
522,0.63041816012134
524,0.6289316906233878
526,0.6269849725149115
528,0.624598983546249
530,0.6218375631636179
532,0.6188003201959602
534,0.6156189793801525
536,0.612439938493539
538,0.6094048211770836
540,0.6066314821229821
542,0.6041894166958679
544,0.6020927930301894
546,0.6002929042910155
548,0.5986841474741718
550,0.597122618605372
552,0.5954503934397037
554,0.5935250515975133
556,0.591244093592503
558,0.5885633723996057
560,0.5855043045770224
562,0.5821421660754142
564,0.578591149106782
566,0.5749764090479975
568,0.5714157667421098
570,0.5679982960171065
572,0.5647801971770987
574,0.5617819357925891
576,0.5589996192769604
578,0.5564095948132309
580,0.5539795858299972
582,0.5516728897212634
584,0.5494501136958077
586,0.547270748442577
588,0.5450988869375644
590,0.5429035718540668
592,0.5406622526947468
594,0.5383624130010872
596,0.5360025136560963
598,0.5335853021668497
600,0.5311126619305446
602,0.5285790072959714
604,0.5259679479128704
606,0.5232567889322456
608,0.5204189066878323
610,0.5174386778785492
612,0.5143130415729517
614,0.5110625044471809
616,0.507730789015973
618,0.5043816837374819
620,0.5010868169886334
622,0.49791266619424146
624,0.4949107254899136
626,0.4921054631750587
628,0.4894855911171103
630,0.4870106734270482
632,0.4846132008571385
634,0.4822099654449145
636,0.4797135926936737
638,0.4770466527680476
640,0.4741491218301869
642,0.47098503098972605
644,0.4675422911333844
646,0.4638314905048324
648,0.459879859814183
650,0.45572270437677953
652,0.45139808012588667
654,0.4469390229129502
656,0.4423749767323717
658,0.4377283147607847
660,0.43301811766325055
662,0.42826109435673965
664,0.4234760457799034
666,0.4186804849666671
668,0.4138871399366363
670,0.40909979162031895
672,0.4043078165367141
674,0.39948867629548646
676,0.39460974142588656
678,0.3896376060489035
680,0.3845510154382046
682,0.37935127025877124
684,0.3740699262804778
686,0.368767351398361
688,0.3635286383622383
690,0.3584502283885506
692,0.3536236276506387
694,0.34911990325529957
696,0.34497685686648716
698,0.34119627392655677
700,0.3377411084282551
702,0.3345473668856524
704,0.3315306652113239
706,0.32860025536402904
708,0.3256728953639562
710,0.3226886101456991
712,0.3196103297812204
714,0.31643243129905557
716,0.3131715464541291
718,0.30985724400019676
720,0.3065189960791824
722,0.30317388570790765
724,0.29981620771116685
726,0.2964190112738892
728,0.29293703334221183
730,0.28931569096283705
732,0.2855076120025339
734,0.28148770651302335
736,0.2772550701064129
738,0.2728357427973637
740,0.268284931833579
742,0.2636752269475622
744,0.2590918719098347
746,0.25461972415464107
748,0.2503474879197275
750,0.24635738720970113
752,0.24272316902887972
754,0.23950779281750972
756,0.2367569622369158
758,0.23449427484301635
760,0.23271578836338025
762,0.23138520175719376
764,0.23043458134218547
766,0.22976557630136177
768,0.22925845147253618
770,0.22878003511854453
772,0.22819940881154174
774,0.227400206976563
776,0.22629375127428245
778,0.22482525572207923
780,0.22297565623855478
782,0.22076533435062176
784,0.21824348174408975
786,0.21548592897254507
788,0.21258217796319218
790,0.2096296589828367
792,0.20672247762777898
794,0.20394644315770516
796,0.20136944399926884
798,0.19903605758227155
800,0.19696351250962602
802,0.19514162347312958
804,0.19353967396436406
806,0.1921101864400234
808,0.1907978018947297
810,0.18955020511475723
812,0.18832474645340333
814,0.18708288642992757
816,0.18579409856818563
818,0.18443247722568817
820,0.1829715716019091
822,0.1813804818313475
824,0.1796321557238285
826,0.17770222041281158
828,0.17558370453232208
830,0.1732812093210045
832,0.17081959677092343
834,0.1682397385796023
836,0.16559226210736852
838,0.1629326224525997
840,0.16031250324788382
842,0.15777070536148555
844,0.1553379138317963
846,0.15302640142497737
848,0.1508365808141309
850,0.1487551413610282
852,0.14676274188126742
854,0.1448367118017117
856,0.14295372944481033
858,0.1410986793829679
860,0.1392643223348705
862,0.1374548635287434
864,0.13568480564248112
866,0.13397531858855327
868,0.13235078108450007
870,0.1308354135361575
872,0.12944967058167198
874,0.1282082681441069
876,0.12712348202983814
878,0.12620251538004318
880,0.12545604308648603
882,0.12488807862121312
884,0.12449947069536732
886,0.12427501407214844
888,0.12418462585266066
890,0.12417170759428893
892,0.12415447095984682
894,0.1240360102278706
896,0.12371133078670749
898,0.12308657582031521
900,0.12209513083303836
902,0.12070957272081986
904,0.11894937613459926
906,0.11687846023312769
908,0.11459517378856214
910,0.11220653247339245
912,0.10981753231476785
914,0.10750621436351898
916,0.10531243628943485
918,0.10323357631088208
920,0.10122892616982646
922,0.09924008467798709
924,0.09720169326033909
926,0.09505803314217258
928,0.09278194602783696
930,0.09037127261583888
932,0.08785630239809869
934,0.08528530300893011
936,0.08271545235935396
938,0.08020811011357411
940,0.07781231329281549
942,0.0755681779681118
944,0.07349988923079309
946,0.07161898201841453
948,0.06992421849117063
950,0.06840061505818829
952,0.06702530193670846
954,0.06576771651083535
956,0.06459588485477782
958,0.06348143148482864
960,0.06240602613459683
962,0.06136126336539039
964,0.06035441297843778
966,0.05939962150788841
968,0.05851897327772522
970,0.05772975032220611
972,0.057037300536524956
974,0.05643102535816752
976,0.05587952775920932
978,0.05533654140606838
980,0.054743348966142906
982,0.05404304267453556
984,0.05318935416664395
986,0.05215527751815838
988,0.05093852511573541
990,0.04956385367413078
992,0.04807623253179649
994,0.04653423692760027
996,0.0450049147867575
998,0.04354862386084418
1000,0.04222000445423189
