BP_RP,m_G
-1.940048724975246,-0.3105657167449083
-1.9110465488522292,-0.3079067832331539
-1.8756538014400528,-0.3053022534426919
-1.852009405807535,-0.3010224405327131
-1.7630756977769293,-0.2909635182178336
-1.7125200671921323,-0.28320170557505886
-1.6978037678713722,-0.2829687822874529
-1.6873195516999493,-0.2812883738727576
-1.652604500919515,-0.27537208944506286
-1.6383342045078324,-0.2736642803312259
-1.6262944754738822,-0.2751970461232389
-1.62340528135656,-0.26809740063768706
-1.6155551353389779,-0.2699279871016582
-1.5771958144546403,-0.26529628762189095
-1.558267650672068,-0.25962815794216176
-1.5451312513526245,-0.2606230229472688
-1.5372352636787514,-0.25751384715788816
-1.5068820374934768,-0.2540356073865899
-1.5022672110035424,-0.260247117178404
-1.4928242589477794,-0.2508853738586989
-1.456518548642907,-0.24612661452859275
-1.446399399099068,-0.24422206441983718
-1.407743634687865,-0.23898493265044074
-1.3794048018869818,-0.22560640364734397
-1.370451378175766,-0.22313815470945275
-1.3674869690711517,-0.23249643536194498
-1.3627614646563373,-0.23143058890249524
-1.3348878544939655,-0.22714085017099478
-1.322888736385429,-0.22683298938546503
-1.3014780460909066,-0.22201715788142362
-1.282449395704842,-0.21839469378913545
-1.2704199303948904,-0.232712208436622
-1.2417594308783686,-0.21345867482353764
-1.238853471183365,-0.2114739420676397
-1.1953557108894204,-0.2055986066194686
-1.172568903606071,-0.2019292936620456
-1.1657559946290874,-0.19974058962915908
-1.1648869390627974,-0.20537591565358237
-1.1206003825478623,-0.19357485471755265
-1.1142066835351025,-0.19014203461439383
-1.1079177092223107,-0.19047323977082709
-1.0742770936529524,-0.18593291114869093
-1.0550185538235786,-0.18229961571332076
-1.0256677173397115,-0.17723156324712797
-0.9887012393904184,-0.17142271242976648
-0.9821094064382763,-0.17090668766206107
-0.9721609612639028,-0.17120762900365438
-0.9653927330203169,-0.1655961611512975
-0.9608175186987671,-0.1668172242955599
-0.9460846894836434,-0.1619029504818137
-0.9440999957583944,-0.16376491993463027
-0.9148124590600748,-0.15845231813274374
-0.8954045277870115,-0.1559657979748783
-0.888793140759665,-0.15407445577973
-0.8656631649648512,-0.1500011032435511
-0.8653702187565582,-0.15026430414698222
-0.8420583110627557,-0.14566607439439494
-0.8210325742038682,-0.1417149378079845
-0.7964825276904746,-0.13722642902402082
-0.7711742897054679,-0.13274843295344674
-0.7657547141713499,-0.13162264110198052
-0.747229404451315,-0.12840068571447016
-0.7242072561320336,-0.1240231026819103
-0.7168469381447595,-0.12602059138600197
-0.7058180702081707,-0.12054275917112367
-0.67837649431993,-0.11519540801722705
-0.6734431809646786,-0.14074960515558452
-0.6714282282640394,-0.1153334152388279
-0.656867419558731,-0.11135967964958482
-0.6528522286694329,-0.11157355605741603
-0.6342357528986984,-0.1065828831196951
-0.6185552064079554,-0.10728231344542305
-0.6125734311871867,-0.11524996701368817
-0.6103156940478458,-0.10235410508605991
-0.5879466844744909,-0.09795542755210018
-0.5710419536081046,-0.095381623654891
-0.5647059743846841,-0.09326217138847692
-0.5420569639895962,-0.08833980269582842
-0.5215328197888303,-0.08398220292319625
-0.5038768748510964,-0.08120783140545562
-0.49866628628457565,-0.07930128316091256
-0.4783061632233334,-0.07561987735876041
-0.47581748554545467,-0.07456675519139111
-0.4537682067215014,-0.06991881699608626
-0.45255938223496983,-0.06987575034735904
-0.4311415931191531,-0.06536763113888178
-0.4113895650864876,-0.06082721907410171
-0.38907797334963234,-0.0560482038355028
-0.3687463630789951,-0.0515490037772679
-0.32995256518465776,-0.04264693215950999
-0.32754999297420095,-0.04241039367892796
-0.3071959895463694,-0.037951556953640164
-0.2842670025522125,-0.03332083008880726
-0.2732894471801872,-0.034066412259823764
-0.26205512559867117,-0.028596047247100742
-0.24083972292620448,-0.024021144000387906
-0.22032450621756716,-0.0193356358240937
-0.19884622726209855,-0.014652227244217997
-0.17783692567699116,-0.010125076462269789
-0.1569365795567519,-0.005497400884788561
-0.13718864985985935,-0.0011347310150489065
-0.11661101204927782,0.003378812815475918
-0.09678859259775141,0.007788389031585297
-0.08030536760430618,0.011637056734066675
-0.07430616087629716,0.012942854801698545
-0.0738406728562806,0.01341199355984024
-0.05898352739246704,-0.02344381578397492
-0.05657605011785005,0.01668870382081522
-0.03778581898553046,0.020849978557748727
-0.017817496499450414,0.025227273458273025
0.0016080574112482537,0.029486433228218978
0.019317354774425866,0.03343898611813767
0.027571888665684163,0.03565753935453486
0.03842597531909231,0.037696418370384066
0.058155831229694144,0.04210496860238688
0.0650677892964655,0.04408984087566381
0.07674863066589133,0.04609067483794416
0.09616467028499809,0.05032327091255606
0.11764826040173126,0.05487158120242963
0.13298458120484735,0.05832093627684287
